	Genes	Var_Importance	logFC	AveExpr	t	P.Value	adj.P.Val	B
19	AIM2	41.224435970127	-0.939217843849808	0.182278202912108	-5.8806436924595	4.72825883062554e-08	3.78882845769862e-07	7.97725655840259
605	ZFPM1	41.1123104252929	1.16778104738686	-0.0566413052299326	5.84335842564601	5.60381027444708e-08	4.37528263735676e-07	7.8120968657807
205	FCGR2C	40.4799214783164	-1.09344426685637	0.0718317207183407	-6.93270442141272	3.26200489984928e-10	5.09374611284157e-09	12.832202467044
534	SPN	40.3700335679211	-0.833417966488568	0.24115097361663	-6.80708764997623	6.00737315937177e-10	8.50811686990095e-09	12.2349896251897
234	GIMAP2	39.9792933866076	-0.696358900052065	0.18551526229174	-4.67986991288829	8.45534338863246e-06	4.08674930450569e-05	2.96305885640038
416	P2RX7	39.9700210165713	-1.43272937163774	0.0886402797528214	-7.74150268030329	5.89036594610019e-12	1.88801729535527e-10	16.7651814305633
304	IPMK	39.9004536279009	-1.3261907087496	0.0428820581770683	-6.53421544437303	2.23177003782725e-09	2.42704991613714e-08	10.9526815515303
544	TBX21	39.5517072450436	-0.834521961688311	0.224548547726888	-6.08118457321799	1.88027584614514e-08	1.73498180348847e-07	8.87451393622325
7	ADAM33	39.4833338845484	0.893394834767134	-0.0827747368446809	4.24880003789449	4.60627217656052e-05	0.000180981919711313	1.34206826527061
474	REL	39.4496206657816	-1.12659882117329	-0.00713163919819139	-5.78174081845445	7.41199837497083e-08	5.64238376294655e-07	7.54033488884968
356	LTA	39.3523372225386	-0.902251001380888	0.224669550243875	-6.67053003523158	1.16146387410629e-09	1.46923121774841e-08	11.5906057009529
312	ITGAL	38.8303652106503	-0.684653079243579	0.27133620708111	-6.05289295663373	2.14329973373214e-08	1.88752120040915e-07	8.74704041412816
159	CXCR6	38.5920694250933	-0.889439963458374	0.233932633913951	-6.98584570656113	2.51646932996009e-10	4.72685031940614e-09	13.0860789930236
112	CD96	38.3593784069677	-0.8619538227466	0.218469019257209	-6.76791740084257	7.26153639264432e-10	9.82727925137865e-09	12.049626320505
169	DTX1	38.0107582838146	0.836059710359685	-0.129807670546475	4.14027543396147	6.94619168286428e-05	0.000257940898467338	0.951265160965502
278	IGSF6	37.9045136621021	-0.999002697228341	0.262933626542848	-6.11741574632534	1.58940134335434e-08	1.53642129857586e-07	9.03817679526929
475	REST	37.4940188699024	-1.24917085064364	0.0254931656225923	-6.30133825765977	6.72772729382056e-09	6.71669823268314e-08	9.87598740447192
52	BTLA	37.435092063805	-0.922271814898019	0.212656712839269	-6.62152694698147	1.46969417593514e-09	1.70793220523971e-08	11.360655045466
128	CLEC5A	37.3997077213967	-1.14555823617766	0.134804232767857	-5.72180145938869	9.71616360676002e-08	7.16692342528561e-07	7.27741146510044
210	FER	37.3358529463129	-0.480570168858086	0.02174542854866	-2.4554929861962	0.0156810382370903	0.0324821506339727	-4.06680048285266
8	ADAMDEC1	36.8942748757399	-1.08406798629358	0.183270306807541	-6.97990991805724	2.59056023721362e-10	4.72685031940614e-09	13.0576860380895
272	ICOS	36.6854539265666	-0.890191534020814	0.300792638035546	-7.1091136454697	1.37494572478237e-10	2.88738602204297e-09	13.6776736705751
90	CD28	36.3141103517828	-0.86045473147269	0.148019324762812	-5.72062643608941	9.76772814940404e-08	7.16692342528561e-07	7.27227158758408
265	HPSE	36.2091114473293	-1.22477231533726	0.0633968722357053	-5.99729337794265	2.77003806022875e-08	2.31089476531412e-07	8.49736729802431
241	GPR65	36.1805507029036	-1.07236139728788	0.198989310226186	-6.87017064776186	4.42299781839277e-10	6.58708123322434e-09	12.5343825111438
96	CD38	35.7476093069599	-1.00959833330091	0.235494802870933	-7.07294823561534	1.64232095465675e-10	3.22636600447085e-09	13.5037239286072
147	CXADR	35.6447139728571	-0.951963128839337	0.0458490756147759	-4.83247656535973	4.53401530604448e-06	2.32034900956394e-05	3.56176320921201
378	MPZL3	35.6443221847507	-0.977976433681895	0.0456495488728092	-5.36434356758932	4.74227137734077e-07	3.04004554610582e-06	5.74040889047757
504	SIGLEC5	35.5112875637052	-0.98266382943339	0.163603224696667	-6.10883591121321	1.65399736077822e-08	1.57388186361553e-07	8.99937815561565
604	ZDHHC1	35.2917554260123	0.836922548927135	-0.062161975582138	4.11074698326445	7.75857813515796e-05	0.000284636993030795	0.846190272801078
242	GRAP2	34.7221887495724	-1.00041350198144	0.115007172659189	-6.86962932003312	4.43465239018387e-10	6.58708123322434e-09	12.5318088667862
101	CD5	34.6968284826957	-0.678415117929665	0.229525239838366	-5.43806308954125	3.43420117749204e-07	2.32380946343628e-06	6.05288670430328
51	BTK	34.1196777304463	-0.858315236553387	0.18994151660595	-6.3408476238649	5.58548686498842e-09	5.66926916796324e-08	10.0574408613272
165	DNASE1	34.1182355082931	0.896888561008711	-0.0736154430254446	4.05834134630225	9.42961755339532e-05	0.000335826730410395	0.661053710444037
514	SLAMF7	34.0767871400368	-1.07121143514445	0.213401625972381	-7.51616904744132	1.8256525225498e-11	4.83401037492535e-10	15.6557826373949
298	IL6R	33.6893061042009	-0.889314219122043	0.0884457848629316	-4.66848527817258	8.85358527399076e-06	4.24553813532313e-05	2.91889706704253
552	TLR10	33.5987748141154	-0.826002418564167	0.169624741060705	-5.14090874090673	1.24350428172088e-06	7.35236997638852e-06	4.80848397289455
455	PSD	33.4837995448121	1.01461655828346	-0.1170920932575	5.07958236142841	1.61392705040776e-06	9.01726214402135e-06	4.55682669554571
100	CD48	32.9625994755039	-0.63069217420862	0.20525843043116	-5.02827132039872	2.00473118103982e-06	1.09989305338131e-05	4.34767916032195
505	SIGLEC7	32.2985126914847	-0.947518202539597	0.165450135672016	-4.7453241366663	6.4813210078081e-06	3.23534794570093e-05	3.21832365243352
427	PIP	32.1814682189444	1.01730821194413	0.0706998512537374	4.80889758318798	4.99605101361648e-06	2.53549588941036e-05	3.46845004158574
249	GZMK	32.1800072533744	-0.658434702057097	0.236479777472565	-4.95862333799624	2.68556478782374e-06	1.43465697875847e-05	4.06588122819447
603	ZBP1	32.1797691641286	-0.550264846971876	0.267751973733809	-3.59642206149763	0.000490034094434145	0.00145575982200192	-0.893321380570121
335	LAMP3	32.1796276795678	-0.838748966370241	0.121622817307898	-4.40339390207457	2.53683617591673e-05	0.00010509749871655	1.9110468804238
129	CLEC7A	32.1794677596278	-1.10330669668813	0.156603401307196	-5.83390062705299	5.85011480591531e-08	4.50977204658534e-07	7.77028754384456
142	CST7	32.1731237228571	-0.614700090858708	0.157525966736817	-4.08257087152028	8.61814699122617e-05	0.000312407828431949	0.746436012703424
543	TBX1	32.1662120384054	0.505643938885239	-0.193680704994608	2.35583980037583	0.0203040110329085	0.0405414515378403	-4.29438137073016
231	GDF15	32.033678525663	0.790197192147859	0.0873583809281413	3.63202462606677	0.00043361113689993	0.00132034591186029	-0.778637607685837
156	CXCL9	31.9346869721201	-1.01800832137794	0.219844259213469	-6.58506185790348	1.75028542342839e-09	1.93804331430525e-08	11.1899930568107
157	CXCR3	31.8904299153063	-0.650384899784842	0.24281477039329	-5.38680270197731	4.29921952355407e-07	2.78534541472812e-06	5.83535088186444
354	LRRK2	31.808702010643	-1.02499000150315	0.164997829424258	-5.67441097572086	1.20233819805268e-07	8.51423212341956e-07	7.07055516268692
75	CCR4	31.8024351970361	-1.0030279985285	0.25196407892686	-6.73278497011556	8.60474343374653e-10	1.1391932067721e-08	11.883729169519
97	CD3D	31.6883023712407	-0.449078695163176	0.25906516970734	-3.58161449198738	0.000515488216614034	0.00150206853549257	-0.940759749466225
138	CRTAM	31.6817550900513	-0.850097444213193	0.204022536039717	-6.0862414427153	1.83673223479895e-08	1.72087681691163e-07	8.8973287950905
394	NFATC2	31.4855537530922	-0.931005640645505	0.0937138999585402	-5.42686918653673	3.60720965200613e-07	2.3878159544258e-06	6.00528341297179
126	CLEC4A	31.3255551927159	-0.910792294623779	0.204448603812564	-5.15469876025314	1.17242035741154e-06	7.14003997663628e-06	4.86532221325819
584	UBD	31.1847914911346	-1.14655527465431	0.253024532178132	-6.80041218032091	6.20482951125835e-10	8.58804811899167e-09	12.2033701622456
149	CXCL10	30.9648946115214	-0.926289776301728	0.269145888341128	-4.91623086519893	3.20508382631826e-06	1.69730091324158e-05	3.8955575502168
609	ZP3	30.9172655740918	0.814486662260385	0.0268935540162467	3.66803615723611	0.000382832916515744	0.00118347840689385	-0.66174298940942
44	BIRC3	30.6280991875589	-1.02522988860629	0.190697595365113	-6.41857030632896	3.86809710586275e-09	4.06150196115589e-08	10.4158664520646
301	IL7R	29.6387124853303	-1.03733713692625	0.181636260870293	-6.6668610966287	1.18214006025734e-09	1.46923121774841e-08	11.5733650085871
353	LNPEP	29.5961027665232	-1.05148186153968	0.0186669897084989	-5.18101232082777	1.04761356909123e-06	6.44441074319754e-06	4.97403077304694
347	LILRA6	29.5961027665232	-0.997874774365571	0.11464465643156	-5.08679977092299	1.56529306209691e-06	8.9090044375422e-06	4.58634904264462
550	TIGIT	29.5961027665232	-0.921650887273487	0.223419660060803	-6.66105295944497	1.21561778619748e-09	1.48062246358853e-08	11.5460798936733
370	MCOLN2	29.5961027665232	-0.889426491244749	-0.00114930826380115	-4.43547752137947	2.23778884831449e-05	9.53016369666801e-05	2.03089565580648
316	ITK	29.5961027665232	-0.888191724080778	0.230188626981491	-6.5968470761583	1.65425283764148e-09	1.86562958911789e-08	11.2451069097279
284	IL1B	29.5961027665232	-0.870713918984627	0.13958086292144	-3.84198207681901	0.000207386781227458	0.00067902446111571	-0.0846646883001938
531	SP140	29.5961027665232	-0.827780082742339	0.232024445821493	-6.63749899078928	1.36125692579355e-09	1.62550091727112e-08	11.4355288754799
121	CIITA	29.5961027665232	-0.800929420638641	0.247760763593083	-5.14355384090807	1.22955132825256e-06	7.34114469515498e-06	4.81937919751054
30	AQP9	29.5961027665232	-0.76861022552099	0.161522108359566	-3.91101344578075	0.000161767831766123	0.000541300052448182	0.14995770874985
400	NOD2	29.5961027665232	-0.753987986747339	0.0909097524960332	-3.79119012643089	0.000248518746245411	0.000800782626790768	-0.255278840330647
458	PTGER2	29.5961027665232	-0.737116894875341	0.100107796518143	-4.08094430331921	8.67045836365298e-05	0.00031244432801566	0.740692563244202
467	RAG1	29.5961027665232	-0.731166894639139	-0.0470721997149578	-3.28028957186272	0.00140054664908823	0.00380773620220863	-1.872137833141
42	BCL2L14	29.5961027665232	-0.718170767145384	0.111521029491613	-3.95147597479628	0.000139660598276711	0.000469907758842637	0.288932144506312
433	PLAC8	29.5961027665232	-0.69474528356922	0.197703817457862	-4.36309825237472	2.96733020266237e-05	0.000120473606228092	1.76137397294848
286	IL1RAP	29.5961027665232	-0.656377868955553	0.00362026738700577	-2.92150270451897	0.00425073414369282	0.0104805550344491	-2.89307397250395
